Termino,Ventana_de_contexto
persona jubilada,"el jubilado persona es un experto en lingüstica jurdica. Conjunto de información similitántica para el término ""persona jubilada"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
pluriempleo,empleo | complementary activity | structure of employment
Asociación Internacional de la Seguridad Social,| AISS | non-governmental organization
transferencia,Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph: Graph:
libre circulación de personas,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""libre circulación de personas"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlazado con otros conceptos."
riesgo cubierto,"es un experto en lingüstica jurdica. Conjunto de información similitántica para el term ""risk covered"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
lugar de trabajo,Condiciones y organización del trabajo | trabajo central | trabajo condición
jornada de trabajo,Condiciones and organisation of work | a work day | a work organization | a workplace horario of work; a workplace flexible horario; dominário; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day;
renovación urbana,"He es un experto en lingüstica jurdica. Desde el conjunto de información similitánico para el term ""renovación urbana"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
acción por responsabilidad civil,"Eres un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el term ""acción por responsabilidad civil"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
Derecho mercantil,Trade policy | Trade law | Trade arbitraje | Trade contract
administración regional,"He es un experto en lingüstica jurdica. Desde el conjunto de información similitánico para el term ""administración regional"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
distribución geográfica,Economa | Estadstica
publicidad de los precios,Contextos: prices | price markup | price policy
acumulación de pensiones,Contexto: pension plan | pension plan
horario flexible,Condiciones y organización del trabajo | móbil horario; variable horario | trabajo jornada
votación,Vote | intención of vote; resultado of the vote; mesa electoral; votación pblica; voto por correspondencia; participación electoral; abstencionismo; verificación del escrutinio; votación por poderes; votación previa; votación secreto; voto secreto; escrutinio
contrato de trabajo,Administrador y remunerador del personal | Administrador del personal
industria sanitaria,"He is an expert in legal lingüstica. He has a conjunto of semantic information for the term ""industry of health"", sintetiza a window of context of most 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
funcionario,"He is an expert in legal lingüstica. He has a conjunto of semantic information for the term ""functioning"", sintetiziza a window of context of most 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
organización del trabajo,Condiciones y organización del trabajo | trabajo en pantalla; trabajo en equipo; ordenación del horario de trabajo; trabajo en cadena; trabajo en estudio
víctima,"Eres un experto en lingüstica jurdica. Desde el conjunto de información semana para el term ""victim"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
movimiento de consumidores,Contexto: consumo | association of consumidores; organization of consumidores | protection of the consumidor
trabajo a distancia,teletrabajo | teletrabajo | teletrabajo especial
administración central,"He is an expert in legal lingüstica. He has a conjunto of symbolic information for the term ""central administration"" and he sintetiza a window of context of more than 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
principio de quien contamina paga,| contaminador-pagador | lucha contra la contaminación
incapacidad laboral,Condiciones y organización del trabajo | seguridad en el trabajo
renta no salarial,Administrador and remuneration of the staff | honorary; participation in benefits; percentage | remuneration of the work
reciclaje profesional,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""professional recreto"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
trabajador con discapacidad,"Ayuda a trabajar en lingüstica legal, es un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""trabajador con discapacidad"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
responsabilidad del fabricante,Civil law | Product liability; Product liability for reasons of the product; Product liability for hidden goods | Product liability
productividad del trabajo,Condiciones y organización del trabajo | labor productivity | type of performance | estudio del trabajo
ley,The sources and branches of the Law | Legislation | Armonization Law; Application of the Law; Base Law; Organic Law; Retroactiveity of the Law
tipo de cambio,economa monetaria | cotización; double-type change | poltica de change | paridad de change; double-type change
parentesco,"a child is an adopted child, a child is an adopted child, a child is an adopted child, a child is an adopted child, a child is an adopted child, a child is an adolescent child, a child is an adopted child, a child is an adolescent child, a child is an adopted child, a child is an adolescent child, a child is an adopted child, a child is an adolescent child, a child is an adopted child, a child is an adolescent child, a child is an adolescent child,"
publicidad,Publicidad | propaganda publicitaria; commercial publicidad; propaganda publicitaria; information publicitaria | comercialización | impacto publicitario; publicidad electrónica no solicitada; public budget
pensión complementaria,Social protection | pension plan
indemnización del seguro,Seguro | póliza de seguro
Derecho de la seguridad social,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""Delección de la seguridad social"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
baja por maternidad,Contextos: social protection | social permiso
empresario,"El estudio es un experto en lingüstica jurdica. Con el conjunto de información semana para el término ""empresario"", esintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
remuneración en especie,Administrador y remuneration of the personal | non-pecuniary | remuneration of the work
información al consumidor,Contextos: consumo | declaration of healthful properties; education of the consumer; nutricional declaration | consumer protection | European Consumer Centres
salud pública,Sanidad | Public Health | Organization of Health | Public Health; reproductive health; legislation; inspección; health risk; public health; development infantil
jurisdicción social,"Eres un experto en lingüstica jurdica. Desde el conjunto de información semana para el término ""jurisdicción social"", sintetiza una ventana de contexto de máximo 100 palabras que claramente expliquen el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
capacidad jurídica,"Ayuda a el trabajo de la jurisdicción civil, el trabajo de la jurisdicción civil, el trabajo de la jurisdicción civil, el trabajo de la jurisdicción civil, el trabajo de la jurisdicción civil, el trabajo de la jurisdicción civil, el trabajo de la jurisdicción civil, el trabajo de la jurisdicción civil, el traba"
Derecho de la vivienda,| urbanismo and construcción | vivienda | regulation of alquilers; moderado alquiler
Autoridad Europea de Seguros y Pensiones de Jubilación,AESPJ | organismo de la UE
religión,cultura y religión | integrismo religioso; judasmo; mitologa; islamismo; nueva religión; atesmo; cristianismo; teologa; iglesia; religión primitiva; symbolo religioso; budismo; secta religiosa; texto sagrado; interreligioso dialogue; hinduismo; institución religiosa; clero
intervención del ministerio fiscal,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el término ""intervención del ministerio fiscal"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
Derecho del trabajo,"Es un experto en lingüstica jurdica. Desde el conjunto de información similitánico para el term ""Delección del trabajo"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlazado con otros conceptos."
fusión internacional,empresa | fusión de empresas
convenio colectivo,"Eres un experto en lingüstica jurdica. Con conjunto de información similitántica para el term ""convenio colectivo"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
salario mínimo,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""mnimo salario"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
dietas y gastos,"He is an expert in legal lingüstica. He has a conjunto of symbolic information for the term ""diets and expenses"", sintetiza a window of context of most 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
igualdad de trato,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""igualdad de trato"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlazado con otros conceptos."
estatuto jurídico,A trabajo de jurisdicción es el trabajo de jurisdicción es el trabajo de jurisdicción es el trabajo de jurisdicción es el trabajo de jurisdicción es el trabajo de jurisdicción es el trabajo de jurisdicción es el trabajo de jurisdicción es el trabajo de jurisdicción e
movilidad geográfica,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""movilidad geográfica"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
transferencias sociales,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""transferencias sociales"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
hora extraordinaria,Condiciones and organisation of work | extra hours | work day
asalariado,Asalariado is a professional category in the labor market.
vivienda,Urbanismo and construcción | edificación habitable; alojamiento; habitación | cooperativa de viviendas; Derecho de la vivienda; vivienda colectiva; vivienda social; vivienda insalubre; individual vivienda
competencia,Competency | Law of Competence | International Competency
ministerio fiscal,El Fiscal General del Estado es un experto en lingüstica jurdica. El es un experto en lingüstica jurdica y es un experto en lingüstica jurdica. El es un experto en lingüstica jurdica y es un experto en lingüstica jurdica.
despido,Employment | Job termination | Help to recolocación; indemnización por despido; despido por económicas; despido colectivo; despido improprio
tiempo de descanso,Condiciones and organisation of work | permission | work day | retributive holidays; un permiso sin sueldo; weekly de sleep; holiday
calidad del producto,Contexto: consumo | criterio de calidad | protección del consumidor | denominación del producto; duración del producto
personal de la administración de justicia,Ayudante de la administración de justicia | oficial de la administración de justicia | secretario judicial; auxiliar de la administración de justicia | legal profesión | notario; agente judicial; asesor judicial
profesión independiente,nterprensa profesional nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa nterprensa
prestación de servicios,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
trabajo temporal,Interinity work | temporal work | temporal work | interinity work | interinity work | tpico work
residencia,"The first residence is the primary residence, which is the primary place of residence, and the secondary residence is the main place of residence."
derechos de los pasajeros,Transportes | rights of autobs o autocar; rights of boat; rights of aerials; rights of train; rights of transportes
día festivo,Condiciones and organisation of work | working day | non-working day | time of rest
elaboración de políticas,EIP; interactive politicas; policy development; elaboración of policies based on data; public administration
persona casada,A person is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a person who is a
restricción de la competencia,- Competitividad | comercial desleal; ilcita; competencia; discriminadora; competencia imperfecta; comercial abusiva; distorsión de la competencia; falseada competencia; comercial restrictiva | price quota; obligation of no competencia; dumping; monopolio; negative sales; rejection of offer; abusiva publicidad; comparative publicidad; oligopolio; dominante; oligopsonio; autolimitación
transferencia de la empresa,"El estudio es un experto en lingüstica jurdica. Con el conjunto de información semana para el term ""transferencia de la empresa"", esintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
cooperativa,"Es un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el term ""cooperativa"", sintetiza una ventana de contexto de máximo 100 palabras que claramente expliquen el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
consumidor,Contexto: consumo | protection of the consumer; behavior of the consumer; consumer policy; prosumidor
aplicación del Derecho de la UE,"El lingüstica jurdica es un experto en lingüstica jurdica. El ttulo de información sobre el término ""aplicación del Derecho de la UE"" sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
contaminación de los alimentos,"Eres un experto en lingüstica jurdica. Con el conjunto de información semana para el term ""contaminación de los alimentos"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
cuadro administrativo,"Eres un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el term ""advisory"" es sintetizado una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
primacía del Derecho,"El estudio es un experto en lingüstica jurdica. Con el conjunto de información semana para el término ""primida del Derecho"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
turismo,
agente judicial,| alguacil | personal de la administración de justicia
disfrute de derechos,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""disfrute de derechos"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
despido colectivo,"Eres un experto en lingüstica jurdica. Después del conjunto de información similitántica para el term ""desedo colectivo"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
norma de producción,tecnologa y reglamentación técnica | norma
redistribución de la renta,"Eres un experto en lingüstica jurdica. Con el conjunto de información semana para el término ""redistribución de la renta"", sintetiza una ventana de contexto de máximo 100 palabras que claramente expliquen el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
administración electrónica,"He is an expert in legal lingüstica. He has a conjunto of semantic information for the term ""e-administración"" and a window of context of more than 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its incorporation with other concepts."
muerte,equities | social life | violent death; cremación; fallecimiento; crematorio; flamenco; fnebres; féretro; declaración de ausencia; ritos funerarias; funeral; declaración de fallecimiento; sepultura; funeraria; defunción; tanatorio; incineración; depósito de cadáveres; ayuda pasiva a la muerte; vehculo funerario; inhumación; difunto;
conflicto laboral,Work relations and the Law of the Work | Collective conflict; Work relations | Collective conflict; Work relations | Collective conflict; Work relations | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages | Wages |
Derecho consuetudinario,Contextos: sources and branches of the Derecho | consuetudinaria norms; uses and uses | Derecho sources
tutela administrativa,"Eres un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el term ""tutela administrativa"", sintetiza una ventana de contexto de máximo 100 palabras que claramente expliquen el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
duración de la conducción,Transport policy | Transport regulation
indemnización,"Es un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el término ""indemnización"", sintetiza una ventana de contexto de máximo 100 palabras que claramente expliquen el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
diálogo social,"Eres un experto en lingüstica jurdica. Conjunto de información similitántica para el term ""diálogo social"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
armonización de la seguridad social,"Eres un experto en lingüstica jurdica. Con el conjunto de información somántica para el term ""armonización de la seguridad social"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
salario mínimo,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""mnimo salario"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
justicia reparadora,Justicia | Justicia restitutiva | Justicia restaurativa | Punishment
indemnización por despido,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""indemnización por después"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
medicamento falsificado,sanidad | falso | medicine
asociación sectores público y privado,APP | public administration
jornada de trabajo,Condiciones and organisation of work | a work day | a work organization | a workplace horario of work; a workplace flexible horario; dominário; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day; a work day;
salario,Administrador y remuneration of the personal | jornal; nómina; remuneration; sueldo | remuneration of the work | salary per performance; retención; low salary; hourly pay
plan de pensiones,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Comité de Empresa Europeo,"Eres un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el term ""Comité de Empresa Europeo"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
política salarial,Administración y remuneración del personal | salario por trabajo doméstico; aumento de salario; reducción de salarios; minimum salary; congelación; mensualización; igualdad de remuneración; fijación del salario
Derecho del trabajo,"Es un experto en lingüstica jurdica. Desde el conjunto de información similitánico para el term ""Delección del trabajo"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlazado con otros conceptos."
Derecho de las obligaciones,"Ayuda a obras de obras civiles es una palabra de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
condición de jubilación,jubilación | edad de jubilación | el jubilato
derecho de litigar,Justice | right to exercise a judicial action; right to establish a judicial action; right to initiate a judicial procedure; right to access justice
cobertura universal de enfermedad,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""universal health care coverage"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
representación del personal,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
daño,"Eres un experto en lingüstica jurdica. Desde el conjunto de información semana para el término ""dao"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
notario,Organización de la Justicia | personal de la administración de la justicia
bienestar social,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""bienestar social"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlazado con otros conceptos."
asesor jurídico,Organización de la Justicia | personal de la administración de la justicia
análisis de coste-eficacia,"Eres un expert en legal lingüstica. Conjunto de información similitántica para el term ""cost-eficacia"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
interés legítimo,"He is an expert in legal lingüstica. He has a set of semantic information for the term ""legacy"" and a window of context of more than 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
recurso colectivo,"He is an expert in legal lingüstica. He has a conjunto of symbolic information for the term ""collective resource"", sintetiziza a window of context of most 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
Derecho de los consumidores,Contexto: Consumo | Legislation in materia de protección de los consumidores | Protección del consumidor
acumulación de rentas,"Eres un experto en lingüstica jurdica. Conjunto de información similitántica para el term ""acumulación de rentas"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlazado con otros conceptos."
Comisión parlamentaria,Parliament | Subcomisión parlamentaria | Composición del Parlamento | Special Commission; Ad Hoc Committee; Composición of a Parliamentary Commission; Permanent Commission
comercio integrado,Distribución | comercio al por menor | cooperative of consumo; retail chain; house of sale; large commercial surface
seguridad del producto,Contexto: consumo | protection of the consumer | defectuoso product
protección del consumidor,Contextos: consumo | defense of the consumer; plan of action in favor of consumers; consumism; rights of the consumidor | consumidor | movement of consumidores; Rights of the consumidor; quality of product; security of product; information to the consumidor; recovery of a product
jornada legal,Condiciones y organización del trabajo | x hours | trabajo y trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - trabajo - traba
sede de la administración,El estudio es un experto en lingüstica jurdica. El estudio es un experto en lingüstica jurdica. El estudio es un experto en lingüstica jurdica. El estudio es un experto en lingüstica jurdica. El estudio es un experto en lingüstica jurdica. El estudio es un experto en lingüstica jurdica. El estudio es un experto en lingüstica
estado civil,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el término ""estado civil"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
cotización social,"Es un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""cotización social"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
recluso,Penal - petty | Penal - penitentiary | trabajo del recluso
productividad,Concurrent management | productive efficiency; capital-labor relationship; productive efficiency; capital-production relationship; productive efficiency | cost-effective analysis
prima salarial,Administrador y remuner del personal | régimen de prima; sobresueldo; fijación de prima; gratification; incentive; extra payment; prima; prima de antigüedad | remuner del trabajo
interés colectivo,"He is an expert in legal lingüstica. He has a conjunto of symbolic information for the term ""collectivists collective"" that sintetiza a window of context of most 100 words that clearly explain the meaning and use of the term, with the aim of facilitar its enlazado with other concepts."
trabajo dominical,Condiciones y organización del trabajo | trabajo en das festivos; trabajo en das no laborables | trabajo jornada
horario de trabajo,Condiciones and organisation of work | hours of work | work day
sanción penal,Condena | Pena | confiscación de bienes; multa; pena sustitutoria; restricción de libertad; pena de muerte; régimen abierto; encarcelamiento; privación de derechos; ejecución de la pena; Registro Penal
mano de obra,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
renta,National contabilidad | redistribución of rent; accumulation of rents; level of life; ahorro; familiar presupuesto; adquisitivo; distribution of rent; familiar rent; ahorro forzoso; social transfers
estatuto jurídico europeo,"Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el term ""european legal statute"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
profesión administrativa,| Organization of the Company | Administrative staff | Administrative room; Administrative staff; Administrative staff employed at office
aplicación de la ley,The origins and branches of the Law | compliance with the law; the vigilance of the law; the derogación of the law; the implementation of the law; the development of the law | the law | the primaca of the Law
Derecho de familia,emancipación es el trabajo de familia y el obligación de alimentos; matrimonio; derecho de custodia; patria potente; divorce; tutela; Derecho matrimonial; civil union; apellido; derecho de adopción; responsabilidad de los padres; derecho de visita; adopción; separación judicial; emancipación
política pública,"Es un experto en lingüstica jurdica. Desde el conjunto de información semana para el term ""pblica"", sintetiza una ventana de contexto de máximo 100 palabras que claramente expliquen el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
fraude alimentario,sanidad | food legislation
responsabilidad,Civil law | legal responsibility; legal responsibility; colegiada responsibility | Civil law | responsibility of the manufacturer; damages and perjuries; indemnización; damages; civil responsibility; contractual responsibility
análisis de políticas,"Eres un experto en lingüstica jurdica. Desde el conjunto de información similitánico para el term ""análisis de polticas"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
organización de la enseñanza,edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar es el edad escolar
tutela,The family is the governing body of the family. The family is the governing body of the family. The family is the governing body of the family.
